time,Vib_Spindle,Vib_Table,Sound_Spindle,Sound_table,X_Load_Cell,Y_Load_Cell,Z_Load_Cell,Current,tool_wear,ACTION_CODE
117,3.999744939,5.074647265,2.926777558,2.371863551,-0.00778122,-0.033436746,0.381327595,2.770581133,204,0
118,3.920146938,4.915780072,3.180791139,4.883705793,0.004388709,-0.031134327,0.396786694,-0.762316847,221,0
119,3.940210897,5.011495087,2.46004434,2.719815799,-0.003834216,0.002744124,0.401062615,3.392892499,221,0
120,3.941855484,5.144048881,2.229885923,2.782332062,0.003401958,0.00767788,0.388563769,3.219882028,221,0
121,3.978036393,4.842431457,2.139237416,3.104455439,-0.00120288,-0.005149884,0.38626135,0.797078691,221,0
122,3.875414179,4.890124502,2.252424664,3.735212412,0.008664631,-0.061394691,0.391524022,1.364460555,221,0
123,4.001718444,5.039782,1.498282,2.942735662,0.003073041,0.00208629,0.392510773,0.361921492,221,0
124,3.897780559,4.906241463,2.026050184,3.95582949,0.002744124,-0.054158517,0.390866188,-0.141321524,221,0
125,3.947118162,5.084514793,1.63285628,2.397528108,0.002744124,0.050108173,0.387905935,2.614016565,221,0
126,3.944486823,5.056227879,1.999234026,3.320630273,-0.006136635,-0.012714975,0.407640955,1.815405832,221,0
127,4.006323287,4.784213052,2.047766338,0.708275304,0.019518892,0.026097232,0.405009619,3.855350221,221,0
128,3.855021304,5.150956151,1.992324341,2.852251574,0.00208629,0.01096705,0.413561461,2.188726723,221,0
129,3.770818467,5.11247279,1.593372382,1.426059379,-0.00120288,0.033333406,0.411587959,3.761608782,221,0
130,3.892846798,4.839471199,2.540328352,2.742025523,-0.002518548,-0.036725916,0.414219295,3.880347939,221,0
131,3.901727567,5.300613678,2.195666521,3.164174962,-0.000545046,-0.008110137,0.414219295,0.806946201,221,0
132,4.013230552,4.948013994,3.327704489,4.81641823,0.00208629,-0.107443072,0.411916876,1.077315989,242,0
133,3.859297229,4.75526831,2.676547968,2.129859985,0.005704378,0.000770622,0.412903627,0.917133401,242,0
134,4.001718444,5.033203648,2.592809094,1.62101111,0.005704378,0.070501027,0.4027072,4.591796308,242,0
135,3.914226426,5.079581029,1.915495229,2.543454164,0.004059792,-0.032449995,0.403693951,0.926671994,242,0
